filename,year,sheet,n_rows,n_cols,has_location_col,has_year_col,columns_preview
Prelim Navy Mid Summary 2019.xlsx,2019,Sheet3,0,1,False,False,
Prelim Other Summary 2019.xlsx,2019,Sheet1,28,16,False,False, | Preliminary Other Trial |  |  |  |  |  | 
Prelim Other Summary 2019.xlsx,2019,Sheet2,0,1,False,False,
Prelim Other Summary 2019.xlsx,2019,Sheet3,0,1,False,False,
Prelim Pinto Summary 2019.xlsx,2019,Sheet1,40,17,False,False, | Preliminary Pinto Trial |  |  |  |  |  | 
Prelim Pinto Summary 2019.xlsx,2019,Sheet2,0,1,False,False,
Prelim Pinto Summary 2019.xlsx,2019,Sheet3,0,1,False,False,
Private Other 4 locations Summary 2019.xlsx,2019,PrOthEN,28,20,False,False, | Private Other Trial - Narrow Row |  |  |  |  |  | 
Private Other 4 locations Summary 2019.xlsx,2019,PrOthEW,25,17,False,False, | Private Other Trial - Wide Row |  |  |  |  |  | 
Private Other 4 locations Summary 2019.xlsx,2019,PrOthWN,26,16,False,False, | Private Other Trial - Narrow Row |  |  |  |  |  | 
Private Other 4 locations Summary 2019.xlsx,2019,PrOthWW,26,18,False,False, | Private Other Trial - Wide Row |  |  |  |  |  | 
Pursuit Summary 2019.xlsx,2019,Overall,44,26,False,False, |  |  |  |  |  |  | 
Pursuit Summary 2019.xlsx,2019,Details,32,11,False,False, |  |  |  |  |  |  | 
Pursuit Summary 2019.xlsx,2019,Sheet3,0,1,False,False,
2 year Private Pinto Summary PrPi 4 location Summary 2020 PrPi 2 location 2018 Jan 2021.xlsx,2018,Candidate Summaries,106,21,False,False, | Private Pinto Trial |  |  |  |  |  | 
2 year Private Pinto Summary PrPi 4 location Summary 2020 PrPi 2 location 2018 Jan 2021.xlsx,2018,2 year summary,33,20,False,False, | Private Pinto Trial |  |  |  |  |  | 
2 year Private Pinto Summary PrPi 4 location Summary 2020 PrPi 2 location 2018 Jan 2021.xlsx,2018,all 2020 locns,36,20,False,False, | Private Pinto Trial - All 4 locations 2020 |  |  |  |  |  | 
